"index","date","value"
"SP",2015-12-24,2060.98999
"SP",2015-12-23,2064.290039
"SP",2015-12-22,2038.969971
"SP",2015-12-21,2021.150024
"SP",2015-12-18,2005.550049
"SP",2015-12-17,2041.890015
"SP",2015-12-16,2073.070068
"SP",2015-12-15,2043.410034
"SP",2015-12-14,2021.939941
"SP",2015-12-11,2012.369995
"SP",2015-12-10,2052.22998
"SP",2015-12-09,2047.619995
"SP",2015-12-08,2063.590088
"SP",2015-12-07,2077.070068
"SP",2015-12-04,2091.689941
"SP",2015-12-03,2049.620117
"SP",2015-12-02,2079.51001
"SP",2015-12-01,2102.629883
"SP",2015-11-30,2080.409912
"SP",2015-11-27,2090.110107
"SP",2015-11-25,2088.870117
"SP",2015-11-24,2089.139893
"SP",2015-11-23,2086.590088
"SP",2015-11-20,2089.169922
"SP",2015-11-19,2081.23999
"SP",2015-11-18,2083.580078
"SP",2015-11-17,2050.439941
"SP",2015-11-16,2053.189941
"SP",2015-11-13,2023.040039
"SP",2015-11-12,2045.969971
"SP",2015-11-11,2075
"SP",2015-11-10,2081.719971
"SP",2015-11-09,2078.580078
"SP",2015-11-06,2099.199951
"SP",2015-11-05,2099.929932
"SP",2015-11-04,2102.310059
"SP",2015-11-03,2109.790039
"SP",2015-11-02,2104.050049
"SP",2015-10-30,2079.360107
"SP",2015-10-29,2089.409912
"SP",2015-10-28,2090.350098
"SP",2015-10-27,2065.889893
"SP",2015-10-26,2071.179932
"SP",2015-10-23,2075.149902
"SP",2015-10-22,2052.51001
"SP",2015-10-21,2018.939941
"SP",2015-10-20,2030.77002
"SP",2015-10-19,2033.660034
"SP",2015-10-16,2033.109985
"SP",2015-10-15,2023.859985
"SP",2015-10-14,1994.23999
"SP",2015-10-13,2003.689941
"SP",2015-10-12,2017.459961
"SP",2015-10-09,2014.890015
"SP",2015-10-08,2013.430054
"SP",2015-10-07,1995.829956
"SP",2015-10-06,1979.920044
"SP",2015-10-05,1987.050049
"SP",2015-10-02,1951.359985
"SP",2015-10-01,1923.819946
"SP",2015-09-30,1920.030029
"SP",2015-09-29,1884.089966
"SP",2015-09-28,1881.77002
"SP",2015-09-25,1931.339966
"SP",2015-09-24,1932.23999
"SP",2015-09-23,1938.76001
"SP",2015-09-22,1942.73999
"SP",2015-09-21,1966.969971
"SP",2015-09-18,1958.030029
"SP",2015-09-17,1990.199951
"SP",2015-09-16,1995.310059
"SP",2015-09-15,1978.089966
"SP",2015-09-14,1953.030029
"SP",2015-09-11,1961.050049
"SP",2015-09-10,1952.290039
"SP",2015-09-09,1942.040039
"SP",2015-09-08,1969.410034
"SP",2015-09-04,1921.219971
"SP",2015-09-03,1951.130005
"SP",2015-09-02,1948.859985
"SP",2015-09-01,1913.849976
"SP",2015-08-31,1972.180054
"SP",2015-08-28,1988.869995
"SP",2015-08-27,1987.660034
"SP",2015-08-26,1940.51001
"SP",2015-08-25,1867.609985
"SP",2015-08-24,1893.209961
"SP",2015-08-21,1970.890015
"SP",2015-08-20,2035.72998
"SP",2015-08-19,2079.610107
"SP",2015-08-18,2096.919922
"SP",2015-08-17,2102.439941
"SP",2015-08-14,2091.540039
"SP",2015-08-13,2083.389893
"SP",2015-08-12,2086.050049
"SP",2015-08-11,2084.070068
"SP",2015-08-10,2104.179932
"SP",2015-08-07,2077.570068
"SP",2015-08-06,2083.560059
"SP",2015-08-05,2099.840088
"SP",2015-08-04,2093.320068
"SP",2015-08-03,2098.040039
"SP",2015-07-31,2103.840088
"SP",2015-07-30,2108.629883
